N,topic,malfunction,cause,elimination
114,"При отключении устройством обработки информации (УОИ) контактора КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 сигнал обратной связи о его отключение в УОИ не приходит","Прекращение запуска дизеля
(Д1 не отключился)
(Д2 не отключился)",Неисправность блок-контакта,Проверить контактор и его блок-контакты.
114,"При отключении устройством обработки информации (УОИ) контактора КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 сигнал обратной связи о его отключение в УОИ не приходит","Прекращение запуска дизеля
(Д1 не отключился)
(Д2 не отключился)",Наличие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты.
114,"При отключении устройством обработки информации (УОИ) контактора КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 сигнал обратной связи о его отключение в УОИ не приходит","Прекращение запуска дизеля
(Д1 не отключился)
(Д2 не отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты.
115,При отключении устройством обработки информации (УОИ) вентиля жалюзи лев. приходит сигнал от датчика открытия жалюзи в УОИ,"Предупреждение!
(Боковые жалюзи слева не закрыты)
(Боковые жалюзи справа(3МВ) не закрыты)
(Боковые жалюзи справа(4МВ) не закрыты)",Неисправен вентиль,"Проверить датчик открытия жалюзи. Обратите внимание, жалюзи могут быть открыты."
115,При отключении устройством обработки информации (УОИ) вентиля жалюзи лев. приходит сигнал от датчика открытия жалюзи в УОИ,"Предупреждение!
(Боковые жалюзи слева не закрыты)
(Боковые жалюзи справа(3МВ) не закрыты)
(Боковые жалюзи справа(4МВ) не закрыты)",Наличие напряжения +110В на катушке вентиля,"Проверить датчик открытия жалюзи. Обратите внимание, жалюзи могут быть открыты."
115,При отключении устройством обработки информации (УОИ) вентиля жалюзи лев. приходит сигнал от датчика открытия жалюзи в УОИ,"Предупреждение!
(Боковые жалюзи слева не закрыты)
(Боковые жалюзи справа(3МВ) не закрыты)
(Боковые жалюзи справа(4МВ) не закрыты)",Неисправность платы БСК (ПВСК) УОИ,"Проверить датчик открытия жалюзи. Обратите внимание, жалюзи могут быть открыты."
115,При отключении устройством обработки информации (УОИ) вентиля жалюзи лев. приходит сигнал от датчика открытия жалюзи в УОИ,"Предупреждение!
(Боковые жалюзи слева не закрыты)
(Боковые жалюзи справа(3МВ) не закрыты)
(Боковые жалюзи справа(4МВ) не закрыты)",Неисправность датчика открытия жалюзи,"Проверить датчик открытия жалюзи. Обратите внимание, жалюзи могут быть открыты."
115,При отключении устройством обработки информации (УОИ) вентиля жалюзи лев. приходит сигнал от датчика открытия жалюзи в УОИ,"Предупреждение!
(Боковые жалюзи слева не закрыты)
(Боковые жалюзи справа(3МВ) не закрыты)
(Боковые жалюзи справа(4МВ) не закрыты)",Наличие +110В в проводе от датчика к УОИ,"Проверить датчик открытия жалюзи. Обратите внимание, жалюзи могут быть открыты."
115,При отключении устройством обработки информации (УОИ) вентиля жалюзи лев. приходит сигнал от датчика открытия жалюзи в УОИ,"Предупреждение!
(Боковые жалюзи слева не закрыты)
(Боковые жалюзи справа(3МВ) не закрыты)
(Боковые жалюзи справа(4МВ) не закрыты)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить датчик открытия жалюзи. Обратите внимание, жалюзи могут быть открыты."
116,При отключении устройством обработки информации (УОИ) переключателя КШ сигнал обратной связи о его отключении в УОИ не приходит,"Предупреждение!
(КШ1 не отключился)
(КШ2 не отключился)",Несправен переключатель,Обратить внимание. Проверить переключатель и его блок-контакты.
116,При отключении устройством обработки информации (УОИ) переключателя КШ сигнал обратной связи о его отключении в УОИ не приходит,"Предупреждение!
(КШ1 не отключился)
(КШ2 не отключился)",Наличие напряжения +110В на переключателе,Обратить внимание. Проверить переключатель и его блок-контакты.
116,При отключении устройством обработки информации (УОИ) переключателя КШ сигнал обратной связи о его отключении в УОИ не приходит,"Предупреждение!
(КШ1 не отключился)
(КШ2 не отключился)",Неисправность платы БСК (ПВСК) УОИ,Обратить внимание. Проверить переключатель и его блок-контакты.
116,При отключении устройством обработки информации (УОИ) переключателя КШ сигнал обратной связи о его отключении в УОИ не приходит,"Предупреждение!
(КШ1 не отключился)
(КШ2 не отключился)",Неисправность блок-контакта,Обратить внимание. Проверить переключатель и его блок-контакты.
116,При отключении устройством обработки информации (УОИ) переключателя КШ сигнал обратной связи о его отключении в УОИ не приходит,"Предупреждение!
(КШ1 не отключился)
(КШ2 не отключился)",Наличие +110В в проводе от блок-контакта к УОИ,Обратить внимание. Проверить переключатель и его блок-контакты.
116,При отключении устройством обработки информации (УОИ) переключателя КШ сигнал обратной связи о его отключении в УОИ не приходит,"Предупреждение!
(КШ1 не отключился)
(КШ2 не отключился)",Неисправность платы БОДД (ПВДД) УОИ,Обратить внимание. Проверить переключатель и его блок-контакты.
117,При отключении устройством обработки информации (УОИ) переключателя П1...П6 сигнал обратной связи о его отключении в УОИ не приходит,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не отключился)",Несправен переключатель,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
117,При отключении устройством обработки информации (УОИ) переключателя П1...П6 сигнал обратной связи о его отключении в УОИ не приходит,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не отключился)",Наличие напряжения +110В на переключателе,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
117,При отключении устройством обработки информации (УОИ) переключателя П1...П6 сигнал обратной связи о его отключении в УОИ не приходит,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
117,При отключении устройством обработки информации (УОИ) переключателя П1...П6 сигнал обратной связи о его отключении в УОИ не приходит,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не отключился)",Неисправна пневматический привод переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
117,При отключении устройством обработки информации (УОИ) переключателя П1...П6 сигнал обратной связи о его отключении в УОИ не приходит,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не отключился)",Неисправность блок-контакта,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
117,При отключении устройством обработки информации (УОИ) переключателя П1...П6 сигнал обратной связи о его отключении в УОИ не приходит,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не отключился)",Наличие +110В в проводе от блок-контакта к УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
117,При отключении устройством обработки информации (УОИ) переключателя П1...П6 сигнал обратной связи о его отключении в УОИ не приходит,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не отключился)
(Реверсор (Р) (назад) не отключился)",Несправен переключатель,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не отключился)
(Реверсор (Р) (назад) не отключился)",Наличие напряжения +110В на переключателе,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не отключился)
(Реверсор (Р) (назад) не отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не отключился)
(Реверсор (Р) (назад) не отключился)",Неисправна пневматический привод переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не отключился)
(Реверсор (Р) (назад) не отключился)",Неисправность блок-контакта,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не отключился)
(Реверсор (Р) (назад) не отключился)",Наличие +110В в проводе от блок-контакта к УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не отключился)
(Реверсор (Р) (назад) не отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(ТП (тормоз) не отключился)
(ТП (тяга) не отключился)",Несправен переключатель,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(ТП (тормоз) не отключился)
(ТП (тяга) не отключился)",Наличие напряжения +110В на переключателе,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(ТП (тормоз) не отключился)
(ТП (тяга) не отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(ТП (тормоз) не отключился)
(ТП (тяга) не отключился)",Неисправна пневматический привод переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(ТП (тормоз) не отключился)
(ТП (тяга) не отключился)",Неисправность блок-контакта,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
118,"При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит","Запрет сборки схемы тяги/тормоза
(ТП (тормоз) не отключился)
(ТП (тяга) не отключился)",Наличие +110В в проводе от блок-контакта к УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ2 самопроизвольно включился)",Несправен контактор или его блок-контакт,"Обратить внимание. Проверить наличие возбуждения тягового генератора. При необходимости снять возбуждение с тягового генератора, выключить автомат SF10."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ2 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Обратить внимание. Проверить наличие возбуждения тягового генератора. При необходимости снять возбуждение с тягового генератора, выключить автомат SF10."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ2 самопроизвольно включился)",Неисправность платы БСК (ПВСК) УОИ,"Обратить внимание. Проверить наличие возбуждения тягового генератора. При необходимости снять возбуждение с тягового генератора, выключить автомат SF10."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ2 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Обратить внимание. Проверить наличие возбуждения тягового генератора. При необходимости снять возбуждение с тягового генератора, выключить автомат SF10."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ2 самопроизвольно включился)",Неисправность платы БОДД (ПВДД) УОИ,"Обратить внимание. Проверить наличие возбуждения тягового генератора. При необходимости снять возбуждение с тягового генератора, выключить автомат SF10."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ3 самопроизвольно включился)",Несправен контактор или его блок-контакт,Обратить внимание.
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ3 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,Обратить внимание.
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ3 самопроизвольно включился)",Неисправность платы БСК (ПВСК) УОИ,Обратить внимание.
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ3 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,Обратить внимание.
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ3 самопроизвольно включился)",Неисправность платы БОДД (ПВДД) УОИ,Обратить внимание.
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ4 самопроизвольно включился)",Несправен контактор или его блок-контакт,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) работает постоянно. Для выключения вентилятора отключите автомат QF1."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ4 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) работает постоянно. Для выключения вентилятора отключите автомат QF1."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ4 самопроизвольно включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) работает постоянно. Для выключения вентилятора отключите автомат QF1."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ4 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) работает постоянно. Для выключения вентилятора отключите автомат QF1."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ4 самопроизвольно включился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) работает постоянно. Для выключения вентилятора отключите автомат QF1."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ5 самопроизвольно включился)",Несправен контактор или его блок-контакт,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) работает постоянно. Для выключения вентилятора отключите автомат QF2."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ5 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) работает постоянно. Для выключения вентилятора отключите автомат QF2."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ5 самопроизвольно включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) работает постоянно. Для выключения вентилятора отключите автомат QF2."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ5 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) работает постоянно. Для выключения вентилятора отключите автомат QF2."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ5 самопроизвольно включился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) работает постоянно. Для выключения вентилятора отключите автомат QF2."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ6 самопроизвольно включился)",Несправен контактор или его блок-контакт,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) работает постоянно. Для выключения вентилятора отключите автомат QF3."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ6 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) работает постоянно. Для выключения вентилятора отключите автомат QF3."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ6 самопроизвольно включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) работает постоянно. Для выключения вентилятора отключите автомат QF3."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ6 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) работает постоянно. Для выключения вентилятора отключите автомат QF3."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ6 самопроизвольно включился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) работает постоянно. Для выключения вентилятора отключите автомат QF3."
119,"При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении","Предупреждение!
(КМ7 самопроизвольно включился)",Несправен контактор или его блок-контакт,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ7, мотор-вентилятор холодильника (3МВ) работает постоянно. Для выключения вентилятора отключите автомат QF4."
